,f_1_0,f_1_1,f_1_15,f_1_2,f_1_3,f_1_4,f_1_5,f_1_6,f_1_7,f_1_8,f_1_9,f_1_10,f_1_11,f_1_12,f_1_13,f_1_14,f_2_0,f_2_1,f_2_2,f_2_3,f_2_4,f_2_5,f_2_6,f_2_7,f_2_8,f_2_9,f_2_10,f_2_11,f_2_12,f_2_13,f_2_14,f_2_15,f_3_0,f_3_1,f_3_2,f_3_3,f_3_4,f_3_5,f_3_6,f_3_7,f_3_8,f_3_9,f_3_10,f_3_11,f_3_12,f_3_13,f_3_14,f_3_15,f_4_0,f_4_1,f_4_2,f_4_3,f_4_4,f_4_5,f_4_6,f_4_7,f_4_8,f_4_9,f_4_10,f_4_11,f_4_12,f_4_13,f_4_14,f_4_15,f_5_0,f_5_1,f_5_2,f_5_3,f_5_4,f_5_5,f_5_6,f_5_7,f_5_8,f_5_9,f_5_10,f_5_11,f_5_12,f_5_13,f_5_14,f_5_15,f_6_0,f_6_1,f_6_2,f_6_3,f_6_4,f_6_5,f_6_6,f_6_7,f_6_8,f_6_9,f_6_10,f_6_11,f_6_12,f_6_13,f_6_14,f_6_15,f_7_0,f_7_1,f_7_2,f_7_3,f_7_4,f_7_5,f_7_6,f_7_7,f_7_8,f_7_9,f_7_10,f_7_11,f_7_12,f_7_13,f_7_14,f_7_15,f_8_0,f_8_1,f_8_2,f_8_3,f_8_4,f_8_5,f_8_6,f_8_7,f_8_8,f_8_9,f_8_10,f_8_11,f_8_12,f_8_13,f_8_14,f_8_15,truck_0,truck_1,truck_2,truck_3,depot_0,depot_1,depot_2,depot_3
f_6_11,10,11,9,12,13,12,11,10,9,8,7,6,5,6,7,8,9,10,11,12,11,10,9,8,7,6,5,4,5,6,7,8,8,9,10,11,10,9,8,7,6,5,4,3,4,5,6,7,7,8,9,10,9,8,7,6,5,4,3,2,3,4,5,6,6,7,8,9,8,7,6,5,4,3,2,1,2,3,4,5,5,6,7,8,7,6,5,4,3,2,1,0,1,2,3,4,6,7,8,9,8,7,6,5,4,3,2,1,2,3,4,5,7,8,9,10,9,8,7,6,5,4,3,2,3,4,5,6,8,10,6,4,10,8,4,6
f_6_12,9,10,8,11,12,13,12,11,10,9,8,7,6,7,6,7,8,9,10,11,12,11,10,9,8,7,6,5,6,5,6,7,7,8,9,10,11,10,9,8,7,6,5,4,5,4,5,6,6,7,8,9,10,9,8,7,6,5,4,3,4,3,4,5,5,6,7,8,9,8,7,6,5,4,3,2,3,2,3,4,4,5,6,7,8,7,6,5,4,3,2,1,0,1,2,3,5,6,7,8,9,8,7,6,5,4,3,2,3,2,3,4,6,7,8,9,10,9,8,7,6,5,4,3,4,3,4,5,7,11,7,5,9,9,5,5
f_6_13,8,9,7,10,11,12,13,12,11,10,9,8,7,6,5,6,7,8,9,10,11,12,11,10,9,8,7,6,5,4,5,6,6,7,8,9,10,11,10,9,8,7,6,5,4,3,4,5,5,6,7,8,9,10,9,8,7,6,5,4,3,2,3,4,4,5,6,7,8,9,8,7,6,5,4,3,2,1,2,3,3,4,5,6,7,8,7,6,5,4,3,2,1,0,1,2,4,5,6,7,8,9,8,7,6,5,4,3,2,1,2,3,5,6,7,8,9,10,9,8,7,6,5,4,3,2,3,4,6,10,8,4,8,10,6,4
f_6_14,7,8,6,9,10,11,12,13,12,11,10,9,8,7,6,7,6,7,8,9,10,11,12,11,10,9,8,7,6,5,6,5,5,6,7,8,9,10,11,10,9,8,7,6,5,4,5,4,4,5,6,7,8,9,10,9,8,7,6,5,4,3,4,3,3,4,5,6,7,8,9,8,7,6,5,4,3,2,3,2,2,3,4,5,6,7,8,7,6,5,4,3,2,1,0,1,3,4,5,6,7,8,9,8,7,6,5,4,3,2,3,2,4,5,6,7,8,9,10,9,8,7,6,5,4,3,4,3,5,9,9,5,7,11,7,5
f_6_15,6,7,5,8,9,10,11,12,13,12,11,10,9,8,7,6,5,6,7,8,9,10,11,12,11,10,9,8,7,6,5,4,4,5,6,7,8,9,10,11,10,9,8,7,6,5,4,3,3,4,5,6,7,8,9,10,9,8,7,6,5,4,3,2,2,3,4,5,6,7,8,9,8,7,6,5,4,3,2,1,1,2,3,4,5,6,7,8,7,6,5,4,3,2,1,0,2,3,4,5,6,7,8,9,8,7,6,5,4,3,2,1,3,4,5,6,7,8,9,10,9,8,7,6,5,4,3,2,4,8,10,6,6,10,8,4
f_7_0,8,7,7,8,9,10,11,12,13,14,13,12,11,10,9,8,7,6,7,8,9,10,11,12,13,12,11,10,9,8,7,6,6,5,6,7,8,9,10,11,12,11,10,9,8,7,6,5,5,4,5,6,7,8,9,10,11,10,9,8,7,6,5,4,4,3,4,5,6,7,8,9,10,9,8,7,6,5,4,3,3,2,3,4,5,6,7,8,9,8,7,6,5,4,3,2,0,1,2,3,4,5,6,7,8,7,6,5,4,3,2,1,3,2,3,4,5,6,7,8,9,8,7,6,5,4,3,2,4,6,10,6,4,8,8,4
f_7_1,7,6,8,7,8,9,10,11,12,13,14,13,12,11,10,9,6,5,6,7,8,9,10,11,12,13,12,11,10,9,8,7,5,4,5,6,7,8,9,10,11,12,11,10,9,8,7,6,4,3,4,5,6,7,8,9,10,11,10,9,8,7,6,5,3,2,3,4,5,6,7,8,9,10,9,8,7,6,5,4,2,1,2,3,4,5,6,7,8,9,8,7,6,5,4,3,1,0,1,2,3,4,5,6,7,8,7,6,5,4,3,2,2,1,2,3,4,5,6,7,8,9,8,7,6,5,4,3,3,5,9,7,3,7,9,5
f_7_2,8,7,9,8,7,8,9,10,11,12,13,14,13,12,11,10,7,6,7,6,7,8,9,10,11,12,13,12,11,10,9,8,6,5,6,5,6,7,8,9,10,11,12,11,10,9,8,7,5,4,5,4,5,6,7,8,9,10,11,10,9,8,7,6,4,3,4,3,4,5,6,7,8,9,10,9,8,7,6,5,3,2,3,2,3,4,5,6,7,8,9,8,7,6,5,4,2,1,0,1,2,3,4,5,6,7,8,7,6,5,4,3,3,2,3,2,3,4,5,6,7,8,9,8,7,6,5,4,4,4,8,8,4,6,10,6
f_7_3,9,8,10,7,6,7,8,9,10,11,12,13,14,13,12,11,8,7,6,5,6,7,8,9,10,11,12,13,12,11,10,9,7,6,5,4,5,6,7,8,9,10,11,12,11,10,9,8,6,5,4,3,4,5,6,7,8,9,10,11,10,9,8,7,5,4,3,2,3,4,5,6,7,8,9,10,9,8,7,6,4,3,2,1,2,3,4,5,6,7,8,9,8,7,6,5,3,2,1,0,1,2,3,4,5,6,7,8,7,6,5,4,4,3,2,1,2,3,4,5,6,7,8,9,8,7,6,5,5,3,7,9,3,5,9,7
f_7_4,10,9,11,8,7,8,7,8,9,10,11,12,13,14,13,12,9,8,7,6,7,6,7,8,9,10,11,12,13,12,11,10,8,7,6,5,6,5,6,7,8,9,10,11,12,11,10,9,7,6,5,4,5,4,5,6,7,8,9,10,11,10,9,8,6,5,4,3,4,3,4,5,6,7,8,9,10,9,8,7,5,4,3,2,3,2,3,4,5,6,7,8,9,8,7,6,4,3,2,1,0,1,2,3,4,5,6,7,8,7,6,5,5,4,3,2,3,2,3,4,5,6,7,8,9,8,7,6,6,4,6,10,4,4,8,8
f_7_5,11,10,12,9,8,7,6,7,8,9,10,11,12,13,14,13,10,9,8,7,6,5,6,7,8,9,10,11,12,13,12,11,9,8,7,6,5,4,5,6,7,8,9,10,11,12,11,10,8,7,6,5,4,3,4,5,6,7,8,9,10,11,10,9,7,6,5,4,3,2,3,4,5,6,7,8,9,10,9,8,6,5,4,3,2,1,2,3,4,5,6,7,8,9,8,7,5,4,3,2,1,0,1,2,3,4,5,6,7,8,7,6,6,5,4,3,2,1,2,3,4,5,6,7,8,9,8,7,7,3,5,9,5,3,7,9
f_7_6,12,11,13,10,9,8,7,8,7,8,9,10,11,12,13,14,11,10,9,8,7,6,7,6,7,8,9,10,11,12,13,12,10,9,8,7,6,5,6,5,6,7,8,9,10,11,12,11,9,8,7,6,5,4,5,4,5,6,7,8,9,10,11,10,8,7,6,5,4,3,4,3,4,5,6,7,8,9,10,9,7,6,5,4,3,2,3,2,3,4,5,6,7,8,9,8,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,7,7,6,5,4,3,2,3,2,3,4,5,6,7,8,9,8,8,4,4,8,6,4,6,10
f_7_7,13,12,14,11,10,9,8,7,6,7,8,9,10,11,12,13,12,11,10,9,8,7,6,5,6,7,8,9,10,11,12,13,11,10,9,8,7,6,5,4,5,6,7,8,9,10,11,12,10,9,8,7,6,5,4,3,4,5,6,7,8,9,10,11,9,8,7,6,5,4,3,2,3,4,5,6,7,8,9,10,8,7,6,5,4,3,2,1,2,3,4,5,6,7,8,9,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,8,7,6,5,4,3,2,1,2,3,4,5,6,7,8,9,9,5,3,7,7,3,5,9
f_7_8,14,13,13,12,11,10,9,8,7,8,7,8,9,10,11,12,13,12,11,10,9,8,7,6,7,6,7,8,9,10,11,12,12,11,10,9,8,7,6,5,6,5,6,7,8,9,10,11,11,10,9,8,7,6,5,4,5,4,5,6,7,8,9,10,10,9,8,7,6,5,4,3,4,3,4,5,6,7,8,9,9,8,7,6,5,4,3,2,3,2,3,4,5,6,7,8,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,9,8,7,6,5,4,3,2,3,2,3,4,5,6,7,8,10,6,4,6,8,4,4,8
f_7_9,13,14,12,13,12,11,10,9,8,7,6,7,8,9,10,11,12,13,12,11,10,9,8,7,6,5,6,7,8,9,10,11,11,12,11,10,9,8,7,6,5,4,5,6,7,8,9,10,10,11,10,9,8,7,6,5,4,3,4,5,6,7,8,9,9,10,9,8,7,6,5,4,3,2,3,4,5,6,7,8,8,9,8,7,6,5,4,3,2,1,2,3,4,5,6,7,7,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,8,9,8,7,6,5,4,3,2,1,2,3,4,5,6,7,9,7,3,5,9,5,3,7
f_7_10,12,13,11,14,13,12,11,10,9,8,7,8,7,8,9,10,11,12,13,12,11,10,9,8,7,6,7,6,7,8,9,10,10,11,12,11,10,9,8,7,6,5,6,5,6,7,8,9,9,10,11,10,9,8,7,6,5,4,5,4,5,6,7,8,8,9,10,9,8,7,6,5,4,3,4,3,4,5,6,7,7,8,9,8,7,6,5,4,3,2,3,2,3,4,5,6,6,7,8,7,6,5,4,3,2,1,0,1,2,3,4,5,7,8,9,8,7,6,5,4,3,2,3,2,3,4,5,6,8,8,4,4,10,6,4,6
f_7_11,11,12,10,13,14,13,12,11,10,9,8,7,6,7,8,9,10,11,12,13,12,11,10,9,8,7,6,5,6,7,8,9,9,10,11,12,11,10,9,8,7,6,5,4,5,6,7,8,8,9,10,11,10,9,8,7,6,5,4,3,4,5,6,7,7,8,9,10,9,8,7,6,5,4,3,2,3,4,5,6,6,7,8,9,8,7,6,5,4,3,2,1,2,3,4,5,5,6,7,8,7,6,5,4,3,2,1,0,1,2,3,4,6,7,8,9,8,7,6,5,4,3,2,1,2,3,4,5,7,9,5,3,9,7,3,5
f_7_12,10,11,9,12,13,14,13,12,11,10,9,8,7,8,7,8,9,10,11,12,13,12,11,10,9,8,7,6,7,6,7,8,8,9,10,11,12,11,10,9,8,7,6,5,6,5,6,7,7,8,9,10,11,10,9,8,7,6,5,4,5,4,5,6,6,7,8,9,10,9,8,7,6,5,4,3,4,3,4,5,5,6,7,8,9,8,7,6,5,4,3,2,3,2,3,4,4,5,6,7,8,7,6,5,4,3,2,1,0,1,2,3,5,6,7,8,9,8,7,6,5,4,3,2,3,2,3,4,6,10,6,4,8,8,4,4
f_7_13,9,10,8,11,12,13,14,13,12,11,10,9,8,7,6,7,8,9,10,11,12,13,12,11,10,9,8,7,6,5,6,7,7,8,9,10,11,12,11,10,9,8,7,6,5,4,5,6,6,7,8,9,10,11,10,9,8,7,6,5,4,3,4,5,5,6,7,8,9,10,9,8,7,6,5,4,3,2,3,4,4,5,6,7,8,9,8,7,6,5,4,3,2,1,2,3,3,4,5,6,7,8,7,6,5,4,3,2,1,0,1,2,4,5,6,7,8,9,8,7,6,5,4,3,2,1,2,3,5,9,7,3,7,9,5,3
f_7_14,8,9,7,10,11,12,13,14,13,12,11,10,9,8,7,8,7,8,9,10,11,12,13,12,11,10,9,8,7,6,7,6,6,7,8,9,10,11,12,11,10,9,8,7,6,5,6,5,5,6,7,8,9,10,11,10,9,8,7,6,5,4,5,4,4,5,6,7,8,9,10,9,8,7,6,5,4,3,4,3,3,4,5,6,7,8,9,8,7,6,5,4,3,2,3,2,2,3,4,5,6,7,8,7,6,5,4,3,2,1,0,1,3,4,5,6,7,8,9,8,7,6,5,4,3,2,3,2,4,8,8,4,6,10,6,4
f_7_15,7,8,6,9,10,11,12,13,14,13,12,11,10,9,8,7,6,7,8,9,10,11,12,13,12,11,10,9,8,7,6,5,5,6,7,8,9,10,11,12,11,10,9,8,7,6,5,4,4,5,6,7,8,9,10,11,10,9,8,7,6,5,4,3,3,4,5,6,7,8,9,10,9,8,7,6,5,4,3,2,2,3,4,5,6,7,8,9,8,7,6,5,4,3,2,1,1,2,3,4,5,6,7,8,7,6,5,4,3,2,1,0,2,3,4,5,6,7,8,9,8,7,6,5,4,3,2,1,3,7,9,5,5,9,7,3
f_8_0,9,8,8,9,10,11,12,13,14,15,14,13,12,11,10,9,8,7,8,9,10,11,12,13,14,13,12,11,10,9,8,7,7,6,7,8,9,10,11,12,13,12,11,10,9,8,7,6,6,5,6,7,8,9,10,11,12,11,10,9,8,7,6,5,5,4,5,6,7,8,9,10,11,10,9,8,7,6,5,4,4,3,4,5,6,7,8,9,10,9,8,7,6,5,4,3,3,2,3,4,5,6,7,8,9,8,7,6,5,4,3,2,0,1,2,3,4,5,6,7,8,7,6,5,4,3,2,1,1,5,9,5,3,7,7,3
f_8_1,8,7,9,8,9,10,11,12,13,14,15,14,13,12,11,10,7,6,7,8,9,10,11,12,13,14,13,12,11,10,9,8,6,5,6,7,8,9,10,11,12,13,12,11,10,9,8,7,5,4,5,6,7,8,9,10,11,12,11,10,9,8,7,6,4,3,4,5,6,7,8,9,10,11,10,9,8,7,6,5,3,2,3,4,5,6,7,8,9,10,9,8,7,6,5,4,2,1,2,3,4,5,6,7,8,9,8,7,6,5,4,3,1,0,1,2,3,4,5,6,7,8,7,6,5,4,3,2,2,4,8,6,2,6,8,4
f_8_2,9,8,10,9,8,9,10,11,12,13,14,15,14,13,12,11,8,7,8,7,8,9,10,11,12,13,14,13,12,11,10,9,7,6,7,6,7,8,9,10,11,12,13,12,11,10,9,8,6,5,6,5,6,7,8,9,10,11,12,11,10,9,8,7,5,4,5,4,5,6,7,8,9,10,11,10,9,8,7,6,4,3,4,3,4,5,6,7,8,9,10,9,8,7,6,5,3,2,3,2,3,4,5,6,7,8,9,8,7,6,5,4,2,1,0,1,2,3,4,5,6,7,8,7,6,5,4,3,3,3,7,7,1,5,9,5
f_8_3,10,9,11,8,7,8,9,10,11,12,13,14,15,14,13,12,9,8,7,6,7,8,9,10,11,12,13,14,13,12,11,10,8,7,6,5,6,7,8,9,10,11,12,13,12,11,10,9,7,6,5,4,5,6,7,8,9,10,11,12,11,10,9,8,6,5,4,3,4,5,6,7,8,9,10,11,10,9,8,7,5,4,3,2,3,4,5,6,7,8,9,10,9,8,7,6,4,3,2,1,2,3,4,5,6,7,8,9,8,7,6,5,3,2,1,0,1,2,3,4,5,6,7,8,7,6,5,4,4,2,6,8,2,4,8,6
f_8_4,11,10,12,9,8,9,8,9,10,11,12,13,14,15,14,13,10,9,8,7,8,7,8,9,10,11,12,13,14,13,12,11,9,8,7,6,7,6,7,8,9,10,11,12,13,12,11,10,8,7,6,5,6,5,6,7,8,9,10,11,12,11,10,9,7,6,5,4,5,4,5,6,7,8,9,10,11,10,9,8,6,5,4,3,4,3,4,5,6,7,8,9,10,9,8,7,5,4,3,2,3,2,3,4,5,6,7,8,9,8,7,6,4,3,2,1,0,1,2,3,4,5,6,7,8,7,6,5,5,1,5,9,3,3,7,7
f_8_5,12,11,13,10,9,8,7,8,9,10,11,12,13,14,15,14,11,10,9,8,7,6,7,8,9,10,11,12,13,14,13,12,10,9,8,7,6,5,6,7,8,9,10,11,12,13,12,11,9,8,7,6,5,4,5,6,7,8,9,10,11,12,11,10,8,7,6,5,4,3,4,5,6,7,8,9,10,11,10,9,7,6,5,4,3,2,3,4,5,6,7,8,9,10,9,8,6,5,4,3,2,1,2,3,4,5,6,7,8,9,8,7,5,4,3,2,1,0,1,2,3,4,5,6,7,8,7,6,6,2,4,8,4,2,6,8
f_8_6,13,12,14,11,10,9,8,9,8,9,10,11,12,13,14,15,12,11,10,9,8,7,8,7,8,9,10,11,12,13,14,13,11,10,9,8,7,6,7,6,7,8,9,10,11,12,13,12,10,9,8,7,6,5,6,5,6,7,8,9,10,11,12,11,9,8,7,6,5,4,5,4,5,6,7,8,9,10,11,10,8,7,6,5,4,3,4,3,4,5,6,7,8,9,10,9,7,6,5,4,3,2,3,2,3,4,5,6,7,8,9,8,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,7,7,3,3,7,5,1,5,9
f_8_7,14,13,15,12,11,10,9,8,7,8,9,10,11,12,13,14,13,12,11,10,9,8,7,6,7,8,9,10,11,12,13,14,12,11,10,9,8,7,6,5,6,7,8,9,10,11,12,13,11,10,9,8,7,6,5,4,5,6,7,8,9,10,11,12,10,9,8,7,6,5,4,3,4,5,6,7,8,9,10,11,9,8,7,6,5,4,3,2,3,4,5,6,7,8,9,10,8,7,6,5,4,3,2,1,2,3,4,5,6,7,8,9,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,8,4,2,6,6,2,4,8
f_8_8,15,14,14,13,12,11,10,9,8,9,8,9,10,11,12,13,14,13,12,11,10,9,8,7,8,7,8,9,10,11,12,13,13,12,11,10,9,8,7,6,7,6,7,8,9,10,11,12,12,11,10,9,8,7,6,5,6,5,6,7,8,9,10,11,11,10,9,8,7,6,5,4,5,4,5,6,7,8,9,10,10,9,8,7,6,5,4,3,4,3,4,5,6,7,8,9,9,8,7,6,5,4,3,2,3,2,3,4,5,6,7,8,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,9,5,1,5,7,3,3,7
f_8_9,14,15,13,14,13,12,11,10,9,8,7,8,9,10,11,12,13,14,13,12,11,10,9,8,7,6,7,8,9,10,11,12,12,13,12,11,10,9,8,7,6,5,6,7,8,9,10,11,11,12,11,10,9,8,7,6,5,4,5,6,7,8,9,10,10,11,10,9,8,7,6,5,4,3,4,5,6,7,8,9,9,10,9,8,7,6,5,4,3,2,3,4,5,6,7,8,8,9,8,7,6,5,4,3,2,1,2,3,4,5,6,7,7,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,8,6,2,4,8,4,2,6
f_8_10,13,14,12,15,14,13,12,11,10,9,8,9,8,9,10,11,12,13,14,13,12,11,10,9,8,7,8,7,8,9,10,11,11,12,13,12,11,10,9,8,7,6,7,6,7,8,9,10,10,11,12,11,10,9,8,7,6,5,6,5,6,7,8,9,9,10,11,10,9,8,7,6,5,4,5,4,5,6,7,8,8,9,10,9,8,7,6,5,4,3,4,3,4,5,6,7,7,8,9,8,7,6,5,4,3,2,3,2,3,4,5,6,6,7,8,7,6,5,4,3,2,1,0,1,2,3,4,5,7,7,3,3,9,5,1,5
f_8_11,12,13,11,14,15,14,13,12,11,10,9,8,7,8,9,10,11,12,13,14,13,12,11,10,9,8,7,6,7,8,9,10,10,11,12,13,12,11,10,9,8,7,6,5,6,7,8,9,9,10,11,12,11,10,9,8,7,6,5,4,5,6,7,8,8,9,10,11,10,9,8,7,6,5,4,3,4,5,6,7,7,8,9,10,9,8,7,6,5,4,3,2,3,4,5,6,6,7,8,9,8,7,6,5,4,3,2,1,2,3,4,5,5,6,7,8,7,6,5,4,3,2,1,0,1,2,3,4,6,8,4,2,8,6,2,4
f_8_12,11,12,10,13,14,15,14,13,12,11,10,9,8,9,8,9,10,11,12,13,14,13,12,11,10,9,8,7,8,7,8,9,9,10,11,12,13,12,11,10,9,8,7,6,7,6,7,8,8,9,10,11,12,11,10,9,8,7,6,5,6,5,6,7,7,8,9,10,11,10,9,8,7,6,5,4,5,4,5,6,6,7,8,9,10,9,8,7,6,5,4,3,4,3,4,5,5,6,7,8,9,8,7,6,5,4,3,2,3,2,3,4,4,5,6,7,8,7,6,5,4,3,2,1,0,1,2,3,5,9,5,1,7,7,3,3
f_8_13,10,11,9,12,13,14,15,14,13,12,11,10,9,8,7,8,9,10,11,12,13,14,13,12,11,10,9,8,7,6,7,8,8,9,10,11,12,13,12,11,10,9,8,7,6,5,6,7,7,8,9,10,11,12,11,10,9,8,7,6,5,4,5,6,6,7,8,9,10,11,10,9,8,7,6,5,4,3,4,5,5,6,7,8,9,10,9,8,7,6,5,4,3,2,3,4,4,5,6,7,8,9,8,7,6,5,4,3,2,1,2,3,3,4,5,6,7,8,7,6,5,4,3,2,1,0,1,2,4,8,6,2,6,8,4,2
f_8_14,9,10,8,11,12,13,14,15,14,13,12,11,10,9,8,9,8,9,10,11,12,13,14,13,12,11,10,9,8,7,8,7,7,8,9,10,11,12,13,12,11,10,9,8,7,6,7,6,6,7,8,9,10,11,12,11,10,9,8,7,6,5,6,5,5,6,7,8,9,10,11,10,9,8,7,6,5,4,5,4,4,5,6,7,8,9,10,9,8,7,6,5,4,3,4,3,3,4,5,6,7,8,9,8,7,6,5,4,3,2,3,2,2,3,4,5,6,7,8,7,6,5,4,3,2,1,0,1,3,7,7,3,5,9,5,1
f_8_15,8,9,7,10,11,12,13,14,15,14,13,12,11,10,9,8,7,8,9,10,11,12,13,14,13,12,11,10,9,8,7,6,6,7,8,9,10,11,12,13,12,11,10,9,8,7,6,5,5,6,7,8,9,10,11,12,11,10,9,8,7,6,5,4,4,5,6,7,8,9,10,11,10,9,8,7,6,5,4,3,3,4,5,6,7,8,9,10,9,8,7,6,5,4,3,2,2,3,4,5,6,7,8,9,8,7,6,5,4,3,2,1,1,2,3,4,5,6,7,8,7,6,5,4,3,2,1,0,2,6,8,4,4,8,6,2
truck_0,10,9,9,10,11,12,13,14,15,16,15,14,13,12,11,10,9,8,9,10,11,12,13,14,15,14,13,12,11,10,9,8,8,7,8,9,10,11,12,13,14,13,12,11,10,9,8,7,7,6,7,8,9,10,11,12,13,12,11,10,9,8,7,6,6,5,6,7,8,9,10,11,12,11,10,9,8,7,6,5,5,4,5,6,7,8,9,10,11,10,9,8,7,6,5,4,4,3,4,5,6,7,8,9,10,9,8,7,6,5,4,3,1,2,3,4,5,6,7,8,9,8,7,6,5,4,3,2,0,6,10,6,4,8,8,4
truck_1,12,11,13,10,9,10,9,10,11,12,13,14,15,16,15,14,11,10,9,8,9,8,9,10,11,12,13,14,15,14,13,12,10,9,8,7,8,7,8,9,10,11,12,13,14,13,12,11,9,8,7,6,7,6,7,8,9,10,11,12,13,12,11,10,8,7,6,5,6,5,6,7,8,9,10,11,12,11,10,9,7,6,5,4,5,4,5,6,7,8,9,10,11,10,9,8,6,5,4,3,4,3,4,5,6,7,8,9,10,9,8,7,5,4,3,2,1,2,3,4,5,6,7,8,9,8,7,6,6,0,6,10,4,4,8,8
truck_2,16,15,15,14,13,12,11,10,9,10,9,10,11,12,13,14,15,14,13,12,11,10,9,8,9,8,9,10,11,12,13,14,14,13,12,11,10,9,8,7,8,7,8,9,10,11,12,13,13,12,11,10,9,8,7,6,7,6,7,8,9,10,11,12,12,11,10,9,8,7,6,5,6,5,6,7,8,9,10,11,11,10,9,8,7,6,5,4,5,4,5,6,7,8,9,10,10,9,8,7,6,5,4,3,4,3,4,5,6,7,8,9,9,8,7,6,5,4,3,2,1,2,3,4,5,6,7,8,10,6,0,6,8,4,4,8
truck_3,12,13,11,14,15,16,15,14,13,12,11,10,9,10,9,10,11,12,13,14,15,14,13,12,11,10,9,8,9,8,9,10,10,11,12,13,14,13,12,11,10,9,8,7,8,7,8,9,9,10,11,12,13,12,11,10,9,8,7,6,7,6,7,8,8,9,10,11,12,11,10,9,8,7,6,5,6,5,6,7,7,8,9,10,11,10,9,8,7,6,5,4,5,4,5,6,6,7,8,9,10,9,8,7,6,5,4,3,4,3,4,5,5,6,7,8,9,8,7,6,5,4,3,2,1,2,3,4,6,10,6,0,8,8,4,4
depot_0,10,9,11,10,9,10,11,12,13,14,15,16,15,14,13,12,9,8,9,8,9,10,11,12,13,14,15,14,13,12,11,10,8,7,8,7,8,9,10,11,12,13,14,13,12,11,10,9,7,6,7,6,7,8,9,10,11,12,13,12,11,10,9,8,6,5,6,5,6,7,8,9,10,11,12,11,10,9,8,7,5,4,5,4,5,6,7,8,9,10,11,10,9,8,7,6,4,3,4,3,4,5,6,7,8,9,10,9,8,7,6,5,3,2,1,2,3,4,5,6,7,8,9,8,7,6,5,4,4,4,8,8,0,6,10,6
depot_1,14,13,15,12,11,10,9,10,9,10,11,12,13,14,15,16,13,12,11,10,9,8,9,8,9,10,11,12,13,14,15,14,12,11,10,9,8,7,8,7,8,9,10,11,12,13,14,13,11,10,9,8,7,6,7,6,7,8,9,10,11,12,13,12,10,9,8,7,6,5,6,5,6,7,8,9,10,11,12,11,9,8,7,6,5,4,5,4,5,6,7,8,9,10,11,10,8,7,6,5,4,3,4,3,4,5,6,7,8,9,10,9,7,6,5,4,3,2,1,2,3,4,5,6,7,8,9,8,8,4,4,8,6,0,6,10
depot_2,14,15,13,16,15,14,13,12,11,10,9,10,9,10,11,12,13,14,15,14,13,12,11,10,9,8,9,8,9,10,11,12,12,13,14,13,12,11,10,9,8,7,8,7,8,9,10,11,11,12,13,12,11,10,9,8,7,6,7,6,7,8,9,10,10,11,12,11,10,9,8,7,6,5,6,5,6,7,8,9,9,10,11,10,9,8,7,6,5,4,5,4,5,6,7,8,8,9,10,9,8,7,6,5,4,3,4,3,4,5,6,7,7,8,9,8,7,6,5,4,3,2,1,2,3,4,5,6,8,8,4,4,10,6,0,6
depot_3,10,11,9,12,13,14,15,16,15,14,13,12,11,10,9,10,9,10,11,12,13,14,15,14,13,12,11,10,9,8,9,8,8,9,10,11,12,13,14,13,12,11,10,9,8,7,8,7,7,8,9,10,11,12,13,12,11,10,9,8,7,6,7,6,6,7,8,9,10,11,12,11,10,9,8,7,6,5,6,5,5,6,7,8,9,10,11,10,9,8,7,6,5,4,5,4,4,5,6,7,8,9,10,9,8,7,6,5,4,3,4,3,3,4,5,6,7,8,9,8,7,6,5,4,3,2,1,2,4,8,8,4,6,10,6,0
